,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,class
19,0.62,1.0,0.22,0.78,0.0,0.44,0.02,0.06,0.48,0.0,0.88,0.24,1.0,0.6,0.63,0.8,0.0
20,0.13,0.74,0.0,0.44,0.31,0.0,0.86,0.04,1.0,0.55,0.67,1.0,0.18,0.8399999999999999,0.23,0.3,0.0
21,0.57,1.0,0.22,0.72,0.0,0.31,0.25,0.0,0.75,0.13,1.0,0.5,0.75,0.87,0.26,0.8499999999999999,0.0
22,0.41,1.0,0.25,0.5,0.47,0.04,0.86,0.0,1.0,0.48,0.74,0.91,0.35,1.0,0.0,0.76,0.0
23,0.68,0.92,0.22,0.71,0.0,0.27,0.36,0.0,0.8399999999999999,0.22,1.0,0.66,0.67,1.0,0.17,0.8299999999999998,0.0
24,0.35,0.8399999999999999,0.0,0.65,0.04,0.21,0.49,0.0,0.95,0.24,1.0,0.67,0.64,1.0,0.05,0.95,0.0
25,0.0,0.53,0.8399999999999999,0.42,1.0,0.06,0.1,0.0,0.02,0.34,0.66,0.66,0.86,1.0,0.05,0.8399999999999999,1.0
26,0.26,0.75,0.59,0.41,0.65,0.03,0.0,0.0,0.14,0.36,0.63,0.66,1.0,1.0,0.36,0.9,1.0
27,0.7,0.9900000000000002,0.42,0.69,0.35,0.3,0.0,0.0,0.19,0.29,0.6,0.58,1.0,0.88,0.54,1.0,1.0
28,0.49,0.49,1.0,0.79,0.54,1.0,0.08,0.68,0.35,0.27,0.0,0.0,0.06,0.35,0.71,0.63,1.0
29,0.31,0.74,0.62,0.37,0.55,0.0,0.0,0.17,0.46,0.49,1.0,0.78,0.8299999999999998,1.0,0.34,0.72,1.0
30,0.18,0.91,0.0,0.48,0.22,0.06,0.66,0.0,1.0,0.3,0.91,0.76,0.52,1.0,0.16,0.76,0.0
31,0.81,1.0,0.49,0.81,0.76,0.38,0.5,0.0,0.0,0.17,0.58,0.51,1.0,0.91,0.3,0.98,1.0
32,0.23,0.76,0.0,0.42,0.17,0.04,0.68,0.0,1.0,0.32,0.9900000000000002,0.72,0.62,1.0,0.12,0.9,0.0
33,1.0,1.0,0.5,1.0,0.34,0.6,0.69,0.25,0.43,0.0,0.0,0.18,0.27,0.58,0.65,0.92,1.0
34,1.0,1.0,0.42,1.0,0.01,0.71,0.18,0.33,0.14,0.0,0.0,0.32,0.36,0.64,0.8299999999999998,0.92,1.0
35,0.21,0.73,0.8399999999999999,0.42,0.9,0.07,0.0,0.0,0.19,0.35,0.81,0.66,1.0,1.0,0.08999999999999998,0.89,1.0
36,0.77,1.0,0.11,0.67,1.0,0.72,0.43,0.9900000000000002,0.36,0.32,0.0,0.0,0.8399999999999999,0.02,0.3,0.46,1.0
37,0.5,1.0,0.05,0.8199999999999998,0.71,0.42,0.91,0.0,0.07,0.18,0.78,0.56,1.0,0.92,0.0,0.9,1.0
38,0.27,0.76,0.01,0.42,0.16,0.0,0.7,0.03,1.0,0.4,0.92,0.8399999999999999,0.44,1.0,0.0,0.73,0.0
39,0.3,0.8299999999999998,0.08,0.43,0.19,0.03,0.71,0.0,1.0,0.36,0.87,0.78,0.39,1.0,0.0,0.73,0.0
40,0.12,0.55,0.0,0.46,0.21,0.06,0.66,0.0,1.0,0.3,0.9900000000000002,0.73,0.63,1.0,0.18,0.93,0.0
41,1.0,0.7,0.46,0.94,0.32,0.51,0.87,0.08999999999999998,0.0,0.0,0.38,0.46,0.8,0.91,0.19,1.0,1.0
42,0.13,0.71,0.51,1.0,1.0,0.78,0.57,0.39,0.15,0.0,0.79,0.08,0.25,0.44,0.0,0.8199999999999998,1.0
43,0.6,0.9,0.26,0.8199999999999998,0.49,0.39,0.35,0.0,0.0,0.23,0.56,0.54,1.0,0.9,0.37,1.0,1.0
44,0.26,0.92,0.0,0.49,0.1,0.04,0.61,0.0,1.0,0.31,0.95,0.76,0.5,1.0,0.04,0.8299999999999998,0.0
45,0.39,1.0,0.75,0.61,1.0,0.98,0.34,0.81,0.08999999999999998,0.3,0.72,0.0,0.8299999999999998,0.45,0.0,0.5,1.0
46,0.56,0.8,0.05,1.0,0.1,0.65,0.87,0.33,0.71,0.0,0.0,0.22,0.58,0.59,1.0,0.97,1.0
47,0.29,0.61,0.97,0.31,0.78,0.0,0.0,0.12,0.45,0.45,1.0,0.77,0.8,1.0,0.08999999999999998,0.73,1.0
48,0.18,0.8399999999999999,0.0,0.49,0.14,0.13,0.58,0.0,0.92,0.25,1.0,0.63,0.73,0.93,0.27,1.0,0.0
49,0.62,0.88,0.2,0.65,0.0,0.24,0.34,0.0,0.78,0.24,1.0,0.63,0.77,1.0,0.26,0.93,0.0
50,0.06,0.43,0.16,0.02,0.68,0.0,1.0,0.35,0.81,0.75,0.38,1.0,0.07,0.63,0.0,0.22,0.0
51,0.42,1.0,0.18,0.67,0.0,0.34,0.02,0.0,0.67,0.08,0.97,0.39,1.0,0.73,0.43,0.88,0.0
52,0.55,0.9,0.44,0.56,0.29,0.13,0.0,0.0,0.28,0.38,0.64,0.69,1.0,1.0,0.63,0.9900000000000002,1.0
53,0.02,0.58,0.0,0.22,0.48,0.0,1.0,0.24,1.0,0.71,0.53,1.0,0.06,0.76,0.22,0.31,0.0
54,0.78,0.81,0.41,0.91,0.41,0.44,0.56,0.0,0.0,0.18,0.48,0.6,1.0,1.0,0.33,0.91,1.0
55,0.23,1.0,0.46,0.57,1.0,0.79,0.49,0.89,0.0,0.48,0.2,0.0,0.79,0.22,0.24,0.53,1.0
56,0.17,0.74,0.2,0.4,0.39,0.0,0.8399999999999999,0.05,1.0,0.46,0.8299999999999998,0.86,0.35,1.0,0.0,0.71,0.0
57,0.19,0.74,0.75,0.62,0.78,0.23,0.03,0.0,0.28,0.38,0.94,0.72,1.0,1.0,0.0,0.8,1.0
58,0.45,0.7,0.77,0.35,0.58,0.0,0.0,0.1,0.48,0.42,1.0,0.71,0.8399999999999999,1.0,0.26,0.81,1.0
59,0.42,0.67,0.16,0.27,0.49,0.0,0.93,0.19,1.0,0.66,0.64,0.98,0.19,1.0,0.0,0.59,0.0
60,0.43,1.0,0.08999999999999998,0.64,0.0,0.19,0.44,0.0,0.9,0.22,1.0,0.66,0.66,0.9900000000000002,0.15,0.88,0.0
61,0.23,0.77,0.0,0.46,0.0,0.02,0.51,0.0,0.87,0.34,1.0,0.78,0.6,1.0,0.12,0.77,0.0
62,0.46,0.93,0.08999999999999998,0.63,0.0,0.15,0.45,0.0,0.9,0.24,1.0,0.7,0.6,1.0,0.19,0.8299999999999998,0.0
63,0.25,0.72,0.15,0.31,0.47,0.0,0.93,0.08,1.0,0.5,0.73,0.87,0.28,1.0,0.0,0.68,0.0
64,0.08999999999999998,0.93,0.0,0.54,0.12,0.15,0.62,0.0,0.9900000000000002,0.29,1.0,0.7,0.64,1.0,0.26,0.78,0.0
65,0.2,0.77,0.61,1.0,1.0,0.8,0.48,0.46,0.08999999999999998,0.07,0.68,0.0,0.25,0.39,0.0,0.8199999999999998,1.0
66,0.17,0.56,0.0,0.27,0.35,0.0,0.74,0.05,1.0,0.47,0.76,0.95,0.37,1.0,0.02,0.76,0.0
67,0.29,0.74,0.01,0.49,0.0,0.02,0.51,0.0,0.93,0.3,1.0,0.76,0.55,1.0,0.06,0.8399999999999999,0.0
68,0.51,0.9900000000000002,0.28,0.6,0.4,0.08999999999999998,0.79,0.0,1.0,0.44,0.81,0.9,0.4,1.0,0.0,0.87,0.0
69,0.38,1.0,0.01,0.75,0.0,0.29,0.36,0.0,0.8,0.14,1.0,0.56,0.79,0.97,0.37,0.94,0.0
70,0.19,0.8199999999999998,0.02,0.66,0.0,0.23,0.33,0.0,0.78,0.14,1.0,0.5,0.77,0.86,0.33,1.0,0.0
71,0.44,0.87,0.21,0.78,0.68,0.41,0.7,0.0,0.0,0.13,0.45,0.47,1.0,0.8,0.41,1.0,1.0
72,0.26,0.94,0.0,0.8,0.47,0.41,0.68,0.0,0.05,0.08999999999999998,0.52,0.46,1.0,0.8399999999999999,0.36,1.0,1.0
73,0.64,0.75,0.43,1.0,0.4,0.6,1.0,0.28,0.81,0.0,0.0,0.06,0.38,0.44,0.72,0.75,1.0
74,1.0,0.91,0.44,1.0,0.0,0.76,0.1,0.37,0.3,0.0,0.03,0.25,0.25,0.61,0.72,0.86,1.0
75,0.61,0.96,0.0,0.8299999999999998,0.61,0.66,1.0,0.3,0.49,0.0,0.05,0.3,0.39,0.68,0.42,1.0,1.0
76,0.87,1.0,0.36,0.71,0.8499999999999999,0.35,0.52,0.0,0.0,0.13,0.51,0.49,1.0,0.8499999999999999,0.44,0.97,1.0
77,0.13,0.68,0.15,0.3,0.42,0.0,0.86,0.19,1.0,0.56,0.8399999999999999,0.9,0.33,1.0,0.0,0.73,0.0
78,0.42,0.87,0.03,0.64,0.0,0.16,0.55,0.0,1.0,0.34,0.88,0.8,0.29,1.0,0.04,0.65,0.0
79,0.39,0.9,0.14,0.75,0.0,0.34,0.26,0.0,0.75,0.0,1.0,0.35,0.8199999999999998,0.74,0.42,1.0,0.0
80,0.18,0.95,0.06,0.63,0.16,0.11,0.65,0.0,1.0,0.4,0.8399999999999999,0.9,0.31,1.0,0.0,0.57,0.0
81,0.61,0.73,0.52,1.0,0.14,0.72,0.54,0.36,0.58,0.0,0.0,0.17,0.45,0.49,1.0,0.79,1.0
82,0.13,0.95,0.17,0.66,0.8299999999999998,0.35,0.77,0.0,0.0,0.14,0.42,0.49,1.0,0.81,0.34,1.0,1.0
83,0.61,1.0,0.16,0.78,0.0,0.39,0.15,0.0,0.72,0.1,1.0,0.48,0.96,0.88,0.44,0.8299999999999998,0.0
84,0.98,0.76,0.59,1.0,0.16,0.76,0.74,0.42,0.77,0.0,0.0,0.08999999999999998,0.31,0.48,1.0,0.76,1.0
85,0.81,0.6,0.96,1.0,0.0,0.98,0.49,0.54,0.96,0.11,0.13,0.0,0.33,0.45,1.0,0.86,1.0
86,0.8499999999999999,0.52,0.8499999999999999,0.98,0.0,0.79,0.65,0.39,1.0,0.0,0.08999999999999998,0.13,0.62,0.56,1.0,1.0,1.0
87,0.27,1.0,0.0,0.74,0.6,0.43,1.0,0.03,0.34,0.0,0.29,0.44,0.74,0.81,0.1,0.58,1.0
88,0.93,0.75,0.8,1.0,0.0,0.74,0.51,0.38,0.96,0.04,0.06,0.0,0.32,0.43,1.0,0.79,1.0
89,0.72,1.0,0.05,0.97,0.53,0.52,0.93,0.06,0.0,0.0,0.11,0.43,1.0,0.77,0.58,0.9900000000000002,1.0
90,0.32,0.8499999999999999,0.67,0.55,0.95,0.1,0.04,0.0,0.12,0.4,0.95,0.71,1.0,1.0,0.0,0.87,1.0
91,0.58,0.56,0.55,1.0,0.0,0.74,0.68,0.42,1.0,0.0,0.19,0.01,0.29,0.45,0.87,0.8299999999999998,1.0
92,0.12,0.87,0.0,0.44,0.2,0.04,0.66,0.0,1.0,0.3,0.89,0.75,0.49,1.0,0.13,0.77,0.0
93,0.76,0.95,0.23,1.0,0.36,0.6,0.68,0.22,0.23,0.0,0.0,0.33,0.46,0.65,1.0,0.94,1.0
94,0.39,0.96,0.14,0.77,0.0,0.36,0.25,0.0,0.78,0.04,1.0,0.43,0.77,0.8199999999999998,0.28,1.0,0.0
95,0.47,1.0,0.11,0.81,0.0,0.39,0.21,0.03,0.62,0.0,0.98,0.22,1.0,0.63,0.61,0.73,0.0
96,0.88,0.59,1.0,1.0,0.16,0.8499999999999999,0.42,0.45,0.8199999999999998,0.08,0.0,0.0,0.32,0.4,0.89,0.77,1.0
97,0.24,0.87,0.0,0.62,0.07,0.0,0.61,0.0,1.0,0.44,0.8,1.0,0.29,0.93,0.07,0.36,0.0
98,0.86,0.8299999999999998,0.4,1.0,0.0,0.72,0.49,0.37,0.63,0.0,0.1,0.2,0.52,0.55,1.0,0.8199999999999998,1.0
99,0.24,0.73,0.8499999999999999,0.63,1.0,0.24,0.35,0.0,0.18,0.33,0.66,0.67,0.79,1.0,0.0,0.88,1.0
100,0.36,0.8399999999999999,0.08999999999999998,0.86,0.0,0.38,0.27,0.0,0.72,0.08999999999999998,1.0,0.47,0.88,0.94,0.46,1.0,0.0
101,0.13,0.78,0.44,0.47,0.36,0.0,0.0,0.0,0.48,0.39,1.0,0.74,0.8499999999999999,1.0,0.2,0.79,1.0
102,0.14,0.91,0.08999999999999998,0.52,0.28,0.1,0.74,0.0,1.0,0.38,0.86,0.81,0.43,1.0,0.0,0.8,0.0
103,0.44,1.0,0.08,0.62,0.0,0.14,0.5,0.0,0.9900000000000002,0.31,1.0,0.78,0.45,0.9,0.11,0.49,0.0
104,0.49,1.0,0.2,0.81,0.0,0.44,0.17,0.08,0.71,0.0,1.0,0.31,0.8499999999999999,0.69,0.41,0.94,0.0
105,0.47,0.93,0.01,0.67,0.0,0.16,0.53,0.0,1.0,0.32,0.95,0.81,0.42,1.0,0.07,0.62,0.0
106,0.32,0.68,0.2,0.36,0.42,0.0,0.8299999999999998,0.15,1.0,0.56,0.8,0.95,0.36,1.0,0.0,0.73,0.0
107,0.49,0.8299999999999998,0.08,0.57,0.0,0.17,0.51,0.0,0.93,0.28,1.0,0.7,0.61,1.0,0.08,0.86,0.0
108,0.25,0.89,0.65,0.55,1.0,0.21,0.2,0.0,0.0,0.3,0.55,0.62,0.94,0.95,0.22,1.0,1.0
109,0.32,0.97,0.34,0.58,0.61,0.21,0.0,0.0,0.05,0.35,0.55,0.66,1.0,1.0,0.39,0.93,1.0
110,0.0,0.9,0.03,0.41,0.31,0.0,0.76,0.16,1.0,0.61,0.7,1.0,0.25,0.87,0.14,0.38,0.0
111,0.49,1.0,0.57,0.55,0.4,0.08999999999999998,0.0,0.0,0.44,0.4,1.0,0.77,0.77,1.0,0.14,0.69,1.0
112,0.38,1.0,0.1,0.69,0.0,0.27,0.29,0.0,0.71,0.08999999999999998,1.0,0.42,0.88,0.81,0.46,0.92,0.0
113,0.47,0.68,0.0,0.7,0.53,0.34,0.8499999999999999,0.0,0.22,0.12,0.53,0.59,1.0,1.0,0.46,0.88,1.0
114,0.13,1.0,0.0,0.43,0.25,0.0,0.67,0.0,1.0,0.34,0.95,0.87,0.55,1.0,0.15,0.92,0.0
115,0.75,0.92,0.23,0.8299999999999998,0.58,0.39,0.77,0.0,0.0,0.13,0.42,0.51,1.0,0.86,0.32,1.0,1.0
116,0.6,1.0,0.19,0.81,0.0,0.44,0.14,0.07,0.62,0.0,0.97,0.27,1.0,0.66,0.62,0.86,0.0
117,0.41,1.0,0.0,0.7,0.76,0.37,1.0,0.0,0.1,0.05,0.41,0.43,0.97,0.79,0.27,0.91,1.0
118,0.02,0.86,0.04,0.37,0.31,0.0,0.74,0.1,1.0,0.49,0.8,0.9,0.35,1.0,0.0,0.72,0.0
119,0.66,1.0,0.3,0.87,0.08,0.56,0.0,0.21,0.31,0.0,0.75,0.17,1.0,0.47,0.89,0.79,0.0
120,0.53,1.0,0.15,0.69,0.0,0.29,0.3,0.0,0.78,0.22,1.0,0.6,0.68,0.9,0.11,0.8299999999999998,0.0
121,0.26,0.93,0.15,0.77,0.97,0.45,0.95,0.01,0.0,0.0,0.42,0.45,1.0,0.88,0.23,1.0,1.0
122,0.06,0.5,0.41,0.5,1.0,0.19,0.44,0.0,0.2,0.37,0.63,0.73,0.65,1.0,0.0,0.73,1.0
123,0.12,1.0,0.0,0.62,0.11,0.19,0.49,0.0,0.88,0.19,1.0,0.6,0.72,0.93,0.3,0.92,0.0
124,0.58,0.58,1.0,0.94,0.45,1.0,0.41,0.59,0.72,0.2,0.1,0.0,0.0,0.31,0.67,0.57,1.0
125,0.27,0.8399999999999999,0.12,0.42,0.18,0.0,0.73,0.07,1.0,0.45,0.93,0.88,0.4,1.0,0.0,0.67,0.0
126,0.4,0.94,0.0,0.66,0.05,0.23,0.55,0.0,0.98,0.26,1.0,0.7,0.62,1.0,0.06,0.8399999999999999,0.0
127,0.08999999999999998,0.7,0.41,1.0,1.0,0.8499999999999999,0.68,0.42,0.27,0.02,0.75,0.0,0.45,0.42,0.0,0.8,1.0
128,0.59,0.8499999999999999,0.04,1.0,0.49,0.5,0.94,0.0,0.0,0.24,0.49,0.56,1.0,0.88,0.04,0.9,1.0
129,0.72,1.0,0.25,0.79,0.0,0.37,0.26,0.0,0.79,0.19,1.0,0.62,0.67,0.97,0.22,0.73,0.0
130,0.43,0.39,1.0,0.73,0.69,1.0,0.07,0.7,0.6,0.36,0.57,0.0,0.0,0.16,0.67,0.48,1.0
131,0.35,0.97,0.08,0.76,0.0,0.27,0.42,0.0,0.91,0.17,1.0,0.65,0.6,0.97,0.08,1.0,0.0
132,0.8499999999999999,0.96,0.38,0.77,1.0,0.4,0.68,0.0,0.0,0.2,0.51,0.59,0.98,1.0,0.32,0.86,1.0
133,0.45,0.98,0.13,0.71,0.13,0.21,0.59,0.0,1.0,0.34,0.81,0.79,0.28,1.0,0.0,0.67,0.0
134,0.16,0.38,0.67,0.29,0.43,0.0,0.22,0.25,0.66,0.57,1.0,0.94,0.5,1.0,0.0,0.74,1.0
135,0.45,1.0,0.1,0.67,0.07,0.16,0.56,0.0,1.0,0.31,0.91,0.79,0.38,0.95,0.0,0.61,0.0
136,0.33,0.93,0.08,0.58,0.0,0.2,0.35,0.0,0.78,0.21,1.0,0.55,0.94,0.93,0.48,1.0,0.0
137,0.64,1.0,1.0,0.92,0.94,0.56,0.72,0.22,0.72,0.0,0.91,0.31,0.52,0.59,0.0,0.8,1.0
138,1.0,0.7,0.58,1.0,0.1,0.75,0.0,0.24,0.48,0.0,1.0,0.19,0.97,0.68,0.45,0.81,0.0
139,0.25,0.92,0.3,0.43,0.5,0.01,0.88,0.0,1.0,0.45,0.78,0.87,0.39,1.0,0.0,0.87,0.0
140,0.29,1.0,0.18,0.58,0.29,0.13,0.78,0.0,1.0,0.38,0.8199999999999998,0.81,0.36,0.98,0.0,0.65,0.0
141,0.7,1.0,0.21,0.78,0.0,0.4,0.11,0.0,0.65,0.06,0.94,0.43,1.0,0.8199999999999998,0.45,0.88,0.0
142,0.89,0.76,0.4,1.0,0.08999999999999998,0.61,1.0,0.29,0.91,0.0,0.0,0.25,0.64,0.63,0.91,1.0,1.0
143,0.29,0.8199999999999998,0.0,0.49,0.1,0.01,0.57,0.0,0.95,0.34,1.0,0.8299999999999998,0.55,1.0,0.08999999999999998,0.81,0.0
144,0.8399999999999999,0.93,0.2,1.0,0.22,0.5,0.44,0.0,0.0,0.22,0.54,0.59,1.0,0.95,0.27,0.97,1.0
145,0.23,0.73,0.0,0.38,0.19,0.0,0.6,0.01,0.93,0.29,1.0,0.74,0.67,1.0,0.32,0.79,0.0
146,0.98,0.89,0.48,1.0,0.29,0.65,0.58,0.25,0.06,0.0,0.0,0.31,0.53,0.63,1.0,0.91,1.0
147,0.73,0.86,0.12,1.0,0.0,0.66,0.77,0.35,1.0,0.0,0.06,0.08,0.34,0.48,0.75,0.8499999999999999,1.0
148,0.06,0.59,0.0,0.24,0.33,0.0,0.74,0.14,1.0,0.46,0.94,0.8499999999999999,0.53,1.0,0.16,0.79,0.0
149,0.05,0.91,0.0,0.52,0.14,0.13,0.61,0.0,0.97,0.3,1.0,0.7,0.66,1.0,0.14,0.98,0.0
150,0.21,1.0,0.0,0.69,0.01,0.32,0.29,0.0,0.8199999999999998,0.16,1.0,0.52,0.79,0.86,0.2,0.8199999999999998,0.0
151,0.56,0.63,0.71,1.0,0.01,0.81,0.48,0.42,0.76,0.0,0.0,0.13,0.27,0.56,1.0,0.86,1.0
152,0.52,0.8399999999999999,0.19,0.94,0.0,0.5,0.2,0.07,0.66,0.0,1.0,0.33,0.96,0.79,0.54,1.0,0.0
153,1.0,1.0,0.31,0.89,0.36,0.55,0.7,0.22,0.23,0.0,0.0,0.28,0.43,0.58,0.86,0.89,1.0
154,0.91,0.9,0.31,1.0,0.0,0.65,0.57,0.32,0.8399999999999999,0.0,0.15,0.14,0.44,0.57,1.0,0.8299999999999998,1.0
155,0.03,0.8299999999999998,0.47,0.67,0.51,0.25,0.0,0.0,0.11,0.37,0.65,0.69,1.0,1.0,0.21,0.92,1.0
156,0.95,0.31,0.44,0.02,0.0,0.26,0.11,0.69,0.6,1.0,1.0,0.73,0.8399999999999999,0.3,0.4,0.0,0.0
157,0.23,0.49,0.81,0.69,1.0,1.0,0.35,0.87,0.33,0.53,0.68,0.21,0.13,0.0,0.0,0.28,1.0
158,0.73,0.62,0.53,1.0,0.0,0.72,0.8199999999999998,0.39,1.0,0.0,0.15,0.14,0.52,0.57,0.9,0.94,1.0
159,0.53,0.93,0.03,0.71,0.47,0.34,0.23,0.0,0.0,0.29,0.59,0.63,1.0,1.0,0.08999999999999998,0.98,1.0
160,0.72,0.97,0.04,0.91,0.14,0.45,0.29,0.0,0.0,0.3,0.61,0.65,1.0,1.0,0.2,0.86,1.0
161,0.0,0.57,0.35,0.95,1.0,1.0,0.95,0.57,0.53,0.19,0.43,0.0,0.6,0.38,0.0,0.63,1.0
162,0.59,0.77,0.6,0.44,0.69,0.0,0.0,0.06,0.36,0.43,1.0,0.72,0.96,1.0,0.31,0.75,1.0
163,0.17,1.0,0.0,0.56,0.12,0.1,0.63,0.0,1.0,0.36,1.0,0.81,0.51,1.0,0.01,0.79,0.0
164,0.7,1.0,0.02,0.5,0.15,0.01,1.0,0.36,0.7,0.79,0.36,0.56,0.67,0.51,0.0,0.0,0.0
165,0.11,0.6,0.0,0.55,0.22,0.01,0.77,0.0,1.0,0.56,0.62,1.0,0.08,0.95,0.05,0.36,0.0
166,0.74,1.0,0.02,0.49,0.29,0.0,1.0,0.54,0.61,0.95,0.0,0.39,0.75,0.77,0.06,0.21,0.0
167,0.8,0.89,0.52,0.97,0.46,0.49,0.59,0.0,0.0,0.06,0.51,0.44,1.0,0.8399999999999999,0.49,1.0,1.0
168,0.73,0.95,0.07,0.76,0.78,0.4,1.0,0.02,0.0,0.0,0.37,0.41,0.8199999999999998,0.8199999999999998,0.51,1.0,1.0
169,0.26,0.91,0.0,0.8,0.02,0.34,0.33,0.0,0.8,0.08,1.0,0.5,0.8199999999999998,0.92,0.38,1.0,0.0
170,0.25,0.77,0.15,0.8199999999999998,0.0,0.4,0.21,0.0,0.73,0.0,1.0,0.38,0.8499999999999999,0.79,0.37,1.0,0.0
171,0.0,0.54,0.59,0.54,1.0,0.23,0.45,0.0,0.41,0.34,0.79,0.69,0.65,1.0,0.13,0.75,1.0
172,0.62,0.9900000000000002,0.0,0.92,0.32,0.5,1.0,0.24,0.67,0.0,0.01,0.19,0.38,0.64,0.48,1.0,1.0
173,0.0,0.75,0.15,0.53,0.77,0.22,0.33,0.0,0.2,0.34,0.72,0.67,1.0,1.0,0.05,0.89,1.0
174,0.0,0.64,0.02,0.26,0.35,0.0,0.77,0.12,1.0,0.46,0.96,0.8499999999999999,0.58,1.0,0.19,0.8,0.0
175,0.39,0.96,0.04,0.61,0.0,0.18,0.49,0.0,0.96,0.26,1.0,0.7,0.61,1.0,0.05,0.88,0.0
176,0.4,1.0,0.13,0.69,0.0,0.3,0.22,0.0,0.73,0.19,1.0,0.53,0.92,0.91,0.39,0.95,0.0
177,0.6,0.56,0.56,1.0,0.0,0.79,0.46,0.38,1.0,0.0,0.45,0.01,0.39,0.48,0.91,0.86,1.0
178,0.29,1.0,0.2,0.62,1.0,0.96,0.15,0.96,0.14,0.51,0.25,0.0,0.9,0.47,0.0,0.44,1.0
179,0.1,0.81,0.61,1.0,1.0,0.76,0.64,0.38,0.35,0.0,0.8299999999999998,0.1,0.51,0.48,0.0,0.76,1.0
180,0.8199999999999998,0.86,0.0,0.67,0.38,0.29,0.96,0.0,0.25,0.2,0.65,0.61,1.0,1.0,0.18,0.73,1.0
181,0.05,0.56,0.05,0.16,0.56,0.0,1.0,0.29,0.97,0.68,0.59,1.0,0.08,0.93,0.0,0.55,0.0
182,0.7,0.92,0.0,0.8299999999999998,0.57,0.49,1.0,0.13,0.16,0.0,0.05,0.37,0.48,0.74,0.64,1.0,1.0
183,0.08999999999999998,0.67,0.16,0.23,0.52,0.0,0.91,0.21,1.0,0.65,0.74,1.0,0.3,0.97,0.0,0.65,0.0
184,0.34,0.76,0.0,0.41,0.07,0.0,0.62,0.0,1.0,0.33,0.95,0.74,0.49,1.0,0.0,0.8299999999999998,0.0
185,0.68,0.89,0.17,1.0,0.28,0.63,0.72,0.28,0.36,0.0,0.0,0.32,0.47,0.64,1.0,0.95,1.0
186,0.59,0.9900000000000002,0.08,1.0,0.24,0.58,0.81,0.28,0.57,0.0,0.0,0.25,0.39,0.64,1.0,0.93,1.0
187,0.19,0.93,0.08999999999999998,0.74,1.0,0.94,0.25,1.0,0.01,0.49,0.0,0.0,0.93,0.16,0.46,0.6,1.0
188,0.0,0.33,0.66,0.6,1.0,1.0,0.48,0.78,0.8399999999999999,0.37,0.52,0.0,0.3,0.32,0.8499999999999999,0.68,1.0
