,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,class
23,0.280992,0.1,0.23494,0.026074,0.039867,0.097222,0.221198,0.071139,0.418605,0.179775,0.623188,0.666667,1.0
24,0.14876,0.08,0.39759,0.147239,0.056478,0.267361,0.389401,0.142472,0.20155,0.117978,0.347826,0.666667,1.0
25,0.157025,0.09333300000000001,0.168675,0.010736,0.0299,0.08680599999999998,0.218894,0.045691,0.488372,0.08988799999999998,0.652174,0.666667,1.0
26,0.181818,0.06,0.198795,0.082822,0.04485,0.100694,0.241935,0.125506,0.465116,0.202247,0.311594,0.666667,1.0
27,0.677686,0.246667,0.331325,0.021472,0.106312,0.083333,0.09907800000000001,0.242722,0.294574,0.303371,0.333333,0.5,1.0
28,0.38843,0.053333,0.198795,0.006135,0.111296,0.055556,0.117512,0.096202,0.325581,0.134831,0.376812,0.5,1.0
29,0.256198,0.066667,0.216867,0.010736,0.04485,0.135417,0.25576,0.121265,0.426357,0.410112,0.217391,0.666667,1.0
30,0.347107,0.193333,0.192771,0.015337,0.051495,0.107639,0.368664,0.094274,0.217054,0.185393,0.478261,0.666667,1.0
31,0.289256,0.173333,0.13253,0.01227,0.05814,0.145833,0.391705,0.110854,0.325581,0.134831,0.275362,0.333333,0.0
32,0.231405,0.186667,0.313253,0.145706,0.068106,0.097222,0.308756,0.176788,0.271318,0.101124,0.202899,0.333333,0.0
33,0.570248,0.233333,0.23494,0.02454,0.16113,0.024306,0.059908,0.221515,0.131783,0.157303,0.231884,0.333333,0.0
34,0.347107,0.04,0.198795,0.009202,0.059801,0.243056,0.359447,0.082707,0.271318,0.140449,0.434783,0.5,1.0
35,0.495868,0.053333,0.277108,0.018405,0.061462,0.076389,0.285714,0.168884,0.248062,0.252809,0.231884,0.333333,0.0
36,0.247934,0.146667,0.144578,0.092025,0.189369,0.118056,0.253456,0.157895,0.271318,0.146067,0.202899,0.333333,0.0
37,0.371901,0.363333,0.120482,0.013804,0.11794,0.090278,0.260369,0.194525,0.341085,0.505618,0.15942,0.166667,0.0
38,0.289256,0.186667,0.204819,0.217791,0.079734,0.15625,0.384793,0.200501,0.325581,0.196629,0.318841,0.333333,0.0
39,0.198347,0.053333,0.192771,0.007668999999999999,0.04485,0.253472,0.410138,0.074224,0.387597,0.106742,0.434783,0.5,1.0
40,0.165289,0.133333,0.204819,0.052147,0.036545,0.135417,0.214286,0.048005,0.51938,0.095506,0.695652,0.666667,1.0
41,0.247934,0.38,0.012048,0.023006,0.114618,0.024306,0.020737,0.151725,0.488372,0.224719,0.347826,0.5,1.0
42,0.157025,0.113333,0.156627,0.182515,0.066445,0.178819,0.230415,0.188934,0.27907,0.129213,0.202899,0.5,1.0
43,0.363636,0.1,0.222892,0.010736,0.054817,0.131944,0.25576,0.109697,0.209302,0.078652,0.289855,0.333333,0.0
44,0.264463,0.106667,0.180723,0.093558,0.049834,0.125,0.274194,0.139773,0.372093,0.095506,0.275362,0.333333,0.0
45,0.628099,0.186667,0.415663,0.023006,0.134551,0.017361,0.034562,0.248506,0.348837,0.224719,0.173913,0.5,1.0
46,0.446281,0.16,0.253012,0.010736,0.061462,0.045139,0.414747,0.150183,0.27907,0.146067,0.231884,0.333333,0.0
47,0.289256,0.433333,0.144578,0.019939,0.164452,0.059028,0.221198,0.184885,0.418605,0.207865,0.188406,0.333333,0.0
48,0.14876,0.08666699999999998,0.144578,0.058282,0.0299,0.125,0.331797,0.074995,0.449612,0.050562,0.507246,0.666667,1.0
49,0.256198,0.213333,0.10241,0.18865,0.039867,0.201389,0.414747,0.20108,0.27907,0.151685,0.202899,0.333333,0.0
50,0.371901,0.22,0.307229,0.021472,0.061462,0.034722,0.463134,0.113553,0.232558,0.185393,0.492754,0.333333,0.0
51,0.289256,0.226667,0.228916,0.095092,0.059801,0.097222,0.267281,0.103914,0.364341,0.08426999999999998,0.666667,0.666667,1.0
52,0.289256,0.153333,0.150602,0.092791,0.038206,0.100694,0.304147,0.102757,0.139535,0.08426999999999998,0.449275,0.333333,0.0
53,0.264463,0.1,0.253012,0.007668999999999999,0.08803999999999998,0.118056,0.21659,0.117023,0.248062,0.101124,0.173913,0.333333,0.0
54,0.231405,0.07333299999999998,0.259036,0.157975,0.059801,0.180556,0.341014,0.200694,0.620155,0.308989,0.347826,0.5,1.0
55,0.297521,0.16,0.13253,0.170245,0.043189,0.149306,0.331797,0.167149,0.294574,0.129213,0.347826,0.333333,0.0
56,0.247934,0.08666699999999998,0.373494,0.08895699999999998,0.053156,0.020833,0.246544,0.124735,0.186047,0.207865,0.318841,0.333333,0.0
57,0.206612,0.213333,0.144578,0.069018,0.04485,0.145833,0.288018,0.091575,0.403101,0.123596,0.478261,0.5,1.0
58,0.181818,0.126667,0.090361,0.013804,0.078073,0.118056,0.281106,0.12512,0.310078,0.129213,0.115942,0.333333,0.0
59,0.396694,0.2,0.216867,0.03681,0.119601,0.100694,0.260369,0.190669,0.372093,0.191011,0.202899,0.333333,0.0
60,0.198347,0.313333,0.271084,0.174847,0.066445,0.090278,0.414747,0.198381,0.348837,0.157303,0.188406,0.5,1.0
61,0.22314,0.153333,0.08433699999999998,0.105828,0.05814,0.114583,0.292627,0.161751,0.387597,0.157303,0.217391,0.333333,0.0
62,0.173554,0.113333,0.114458,0.180982,0.063123,0.170139,0.359447,0.196453,0.488372,0.08988799999999998,0.217391,0.333333,0.0
63,0.256198,0.066667,0.216867,0.010736,0.04485,0.135417,0.25576,0.121265,0.426357,0.410112,0.217391,0.666667,1.0
64,0.305785,0.16,0.156627,0.018405,0.054817,0.041667,0.292627,0.128976,0.271318,0.08988799999999998,0.217391,0.333333,0.0
65,0.330579,0.326667,0.186747,0.018405,0.099668,0.08680599999999998,0.262673,0.17621,0.44186,0.174157,0.188406,0.333333,0.0
66,0.190083,0.2,0.08433699999999998,0.050613,0.084718,0.090278,0.246544,0.122036,0.271318,0.067416,0.173913,0.166667,0.0
67,0.272727,0.36,0.036145,0.010736,0.101329,0.013889,0.013825,0.136688,0.348837,0.146067,0.26087,0.333333,0.0
68,0.08264499999999998,0.38,0.072289,0.007668999999999999,0.006645,0.010417,0.009217,0.103142,0.465116,0.078652,0.7971009999999998,0.166667,0.0
69,0.272727,0.506667,0.012048,0.058282,0.144518,0.013889,0.016129,0.190669,0.534884,0.196629,0.434783,0.166667,0.0
70,0.53719,0.3,0.289157,0.029141,0.089701,0.017361,0.043779,0.24465,0.310078,0.207865,0.188406,0.5,1.0
71,0.264463,0.053333,0.192771,0.007668999999999999,0.038206,0.097222,0.170507,0.050318,0.395349,0.078652,0.594203,0.5,1.0
72,0.363636,0.233333,0.174699,0.015337,0.119601,0.090278,0.08986199999999998,0.171968,0.410853,0.179775,0.333333,0.333333,0.0
73,0.347107,0.09333300000000001,0.253012,0.214724,0.05814,0.152778,0.361751,0.25429,0.379845,0.264045,0.086957,0.666667,1.0
74,0.280992,0.106667,0.216867,0.021472,0.033223,0.069444,0.131336,0.070368,0.317829,0.230337,0.652174,0.5,1.0
75,0.264463,0.333333,0.168675,0.064417,0.126246,0.038194,0.145161,0.177752,0.465116,0.269663,0.434783,0.5,1.0
76,0.330579,0.08666699999999998,0.204819,0.173313,0.049834,0.1875,0.308756,0.169462,0.232558,0.050562,0.333333,0.5,1.0
77,0.256198,0.106667,0.240964,0.226994,0.071429,0.277778,0.442396,0.221515,0.372093,0.264045,0.202899,0.333333,0.0
78,0.347107,0.233333,0.240964,0.180982,0.26412,0.097222,0.423963,0.231155,0.271318,0.235955,0.173913,0.333333,0.0
79,0.22314,0.12,0.192771,0.092791,0.083056,0.114583,0.225806,0.104685,0.356589,0.11236,0.449275,0.333333,0.0
80,0.206612,0.126667,0.174699,0.177914,0.05814,0.201389,0.437788,0.206478,0.325581,0.101124,0.115942,0.5,1.0
81,0.239669,0.153333,0.048193,0.010736,0.048173,0.197917,0.324885,0.09813,0.356589,0.134831,0.289855,0.333333,0.0
82,0.22314,0.066667,0.246988,0.208589,0.049834,0.159722,0.28341,0.186428,0.434109,0.280899,0.333333,0.666667,1.0
83,0.338843,0.133333,0.295181,0.108896,0.059801,0.163194,0.435484,0.159823,0.248062,0.185393,0.434783,0.5,1.0
84,0.512397,0.1,0.162651,0.207055,0.039867,0.152778,0.368664,0.225371,0.0,0.117978,0.246377,0.5,1.0
85,0.190083,0.253333,0.192771,0.08588999999999998,0.07309,0.03125,0.202765,0.159244,0.488372,0.140449,0.304348,0.333333,0.0
86,0.338843,0.06,0.192771,0.015337,0.07309,0.159722,0.331797,0.148255,0.44186,0.303371,0.231884,0.5,1.0
87,0.446281,0.133333,0.277108,0.039877,0.08139499999999998,0.131944,0.292627,0.17139,0.325581,0.202247,0.217391,0.333333,0.0
88,0.355372,0.186667,0.355422,0.199387,0.069767,0.204861,0.294931,0.226528,0.186047,0.095506,0.101449,0.333333,0.0
89,0.355372,0.08,0.295181,0.115031,0.069767,0.173611,0.458525,0.159823,0.294574,0.168539,0.434783,0.5,1.0
90,0.31405,0.153333,0.204819,0.029141,0.121262,0.08680599999999998,0.06682,0.124349,0.387597,0.207865,0.652174,0.666667,1.0
91,0.239669,0.266667,0.295181,0.035276,0.034884,0.09375,0.267281,0.04145,0.317829,0.101124,0.724638,0.5,1.0
92,0.413223,0.403333,0.156627,0.015337,0.131229,0.052083,0.039171,0.189512,0.465116,0.140449,0.202899,0.333333,0.0
93,0.330579,0.366667,0.289157,0.016871,0.151163,0.045139,0.207373,0.173318,0.364341,0.224719,0.217391,0.333333,0.0
94,0.31405,0.14,0.156627,0.090491,0.054817,0.107639,0.354839,0.140544,0.325581,0.140449,0.391304,0.333333,0.0
95,0.347107,0.09333300000000001,0.168675,0.205521,0.07309,0.284722,0.440092,0.211876,0.325581,0.129213,0.26087,0.5,1.0
96,0.404959,0.253333,0.186747,0.029141,0.194352,0.079861,0.133641,0.199537,0.294574,0.292135,0.231884,0.333333,0.0
97,0.338843,0.06,0.192771,0.015337,0.07309,0.159722,0.331797,0.148255,0.44186,0.303371,0.231884,0.5,1.0
98,0.239669,0.066667,0.168675,0.147239,0.049834,0.097222,0.251152,0.146135,0.302326,0.129213,0.42029,0.666667,1.0
99,0.239669,0.106667,0.246988,0.124233,0.04485,0.097222,0.327189,0.155967,0.387597,0.224719,0.275362,0.5,1.0
100,0.272727,0.04,0.240964,0.009202,0.069767,0.1875,0.299539,0.117409,0.449612,0.41573,0.26087,0.666667,1.0
101,0.206612,0.133333,0.144578,0.120399,0.036545,0.107639,0.382488,0.167534,0.51938,0.196629,0.246377,0.666667,1.0
102,0.181818,0.133333,0.174699,0.28681,0.069767,0.121528,0.387097,0.231348,0.325581,0.157303,0.144928,0.333333,0.0
103,0.198347,0.08666699999999998,0.204819,0.092025,0.034884,0.121528,0.195853,0.082707,0.465116,0.129213,0.652174,0.666667,1.0
104,0.115702,0.2,0.156627,0.108896,0.07309,0.065972,0.223502,0.103914,0.426357,0.129213,0.608696,0.5,1.0
105,0.355372,0.166667,0.216867,0.104294,0.046512,0.121528,0.345622,0.169848,0.364341,0.179775,0.376812,0.5,1.0
106,0.181818,0.133333,0.150602,0.018405,0.054817,0.024306,0.235023,0.111625,0.27907,0.185393,0.144928,0.333333,0.0
107,0.099174,0.146667,0.198795,0.047546,0.034884,0.184028,0.384793,0.030654,0.496124,0.044944,0.724638,0.666667,1.0
108,0.347107,0.07333299999999998,0.180723,0.021472,0.07309,0.163194,0.308756,0.132832,0.356589,0.151685,0.231884,0.5,1.0
109,0.380165,0.423333,0.120482,0.027607,0.111296,0.03125,0.073733,0.197417,0.457364,0.235955,0.202899,0.333333,0.0
110,0.347107,0.09333300000000001,0.253012,0.214724,0.05814,0.152778,0.361751,0.25429,0.379845,0.264045,0.086957,0.666667,1.0
111,0.280992,0.113333,0.192771,0.013804,0.074751,0.079861,0.228111,0.08540599999999998,0.348837,0.146067,0.449275,0.5,1.0
112,0.256198,0.133333,0.246988,0.01227,0.011628,0.017361,0.112903,0.03181,0.341085,0.101124,0.782609,0.333333,0.0
113,0.272727,0.406667,0.048193,0.023006,0.089701,0.142361,0.105991,0.172932,0.542636,0.213483,0.318841,0.5,1.0
114,0.231405,0.32,0.090361,0.144172,0.046512,0.128472,0.347926,0.179487,0.434109,0.168539,0.202899,0.333333,0.0
115,0.22314,0.09333300000000001,0.271084,0.113497,0.07309,0.177083,0.437788,0.169462,0.395349,0.146067,0.15942,0.5,1.0
116,0.165289,0.113333,0.144578,0.194785,0.05814,0.138889,0.301843,0.194525,0.48062,0.11236,0.217391,0.333333,0.0
117,0.165289,0.08,0.180723,0.013804,0.036545,0.069444,0.117512,0.07788699999999998,0.55814,0.185393,0.434783,0.5,1.0
118,0.404959,0.106667,0.210843,0.0,0.054817,0.034722,0.14977,0.105842,0.27907,0.08988799999999998,0.376812,0.333333,0.0
119,0.272727,0.066667,0.295181,0.010736,0.039867,0.038194,0.152074,0.069597,0.255814,0.174157,0.478261,0.666667,1.0
120,0.231405,0.416667,0.042169,0.015337,0.111296,0.017361,0.020737,0.175246,0.55814,0.202247,0.391304,0.333333,0.0
121,0.247934,0.08666699999999998,0.162651,0.269172,0.054817,0.138889,0.322581,0.250434,0.449612,0.078652,0.101449,0.333333,0.0
122,0.380165,0.293333,0.13253,0.032209,0.124585,0.010417,0.02765,0.187199,0.418605,0.196629,0.275362,0.5,1.0
123,0.231405,0.12,0.337349,0.226994,0.07309,0.107639,0.31106,0.211876,0.302326,0.151685,0.188406,0.333333,0.0
124,0.181818,0.18,0.307229,0.009202,0.033223,0.03125,0.221198,0.0615,0.573643,0.11236,0.565217,0.5,1.0
125,0.347107,0.2,0.26506,0.019939,0.147841,0.017361,0.020737,0.163678,0.449612,0.235955,0.492754,0.5,1.0
126,0.214876,0.153333,0.162651,0.104294,0.066445,0.163194,0.375576,0.117987,0.426357,0.129213,0.449275,0.5,1.0
127,0.322314,0.133333,0.23494,0.127301,0.04485,0.024306,0.25576,0.123193,0.263566,0.08988799999999998,0.57971,0.666667,1.0
128,0.305785,0.346667,0.018072,0.018405,0.142857,0.083333,0.214286,0.152111,0.488372,0.179775,0.304348,0.333333,0.0
129,0.264463,0.066667,0.295181,0.07208599999999998,0.051495,0.114583,0.274194,0.082707,0.403101,0.101124,0.608696,0.5,1.0
130,0.636364,0.066667,0.307229,0.052147,0.157807,0.010417,0.039171,0.240794,0.434109,0.421348,0.304348,0.5,1.0
131,0.14876,0.08,0.216867,0.029141,0.064784,0.052083,0.274194,0.110083,0.596899,0.151685,0.289855,0.5,1.0
132,0.280992,0.36,0.036145,0.032209,0.112957,0.048611,0.182028,0.199537,0.612403,0.179775,0.217391,0.333333,0.0
133,0.256198,0.07333299999999998,0.186747,0.286043,0.056478,0.128472,0.370968,0.239638,0.162791,0.168539,0.15942,0.666667,1.0
134,0.247934,0.266667,0.150602,0.021472,0.111296,0.097222,0.126728,0.157895,0.48062,0.213483,0.347826,0.333333,0.0
135,0.31405,0.07333299999999998,0.222892,0.191718,0.039867,0.177083,0.334101,0.195682,0.356589,0.320225,0.347826,0.5,1.0
136,0.355372,0.466667,0.138554,0.030675,0.083056,0.013889,0.020737,0.190669,0.503876,0.191011,0.478261,0.333333,0.0
137,0.190083,0.126667,0.198795,0.02454,0.019934,0.08680599999999998,0.25576,0.028726,0.310078,0.044944,0.652174,0.5,1.0
138,0.239669,0.066667,0.180723,0.08895699999999998,0.064784,0.135417,0.564516,0.163678,0.44186,0.168539,0.289855,0.333333,0.0
139,0.289256,0.113333,0.216867,0.023006,0.041528,0.100694,0.394009,0.072103,0.410853,0.101124,0.565217,0.833333,1.0
140,0.256198,0.1,0.204819,0.052147,0.063123,0.079861,0.281106,0.140544,0.372093,0.168539,0.246377,0.5,1.0
141,0.438017,0.213333,0.343373,0.06135,0.11794,0.017361,0.032258,0.181415,0.434109,0.196629,0.652174,0.5,1.0
142,0.231405,0.126667,0.150602,0.038344,0.071429,0.138889,0.419355,0.084635,0.403101,0.101124,0.478261,0.333333,0.0
143,0.330579,0.08666699999999998,0.295181,0.011503,0.071429,0.017361,0.096774,0.076923,0.333333,0.033708,0.492754,0.333333,0.0
144,0.256198,0.456667,0.108434,0.027607,0.388704,0.015625,0.096774,0.173703,0.527132,0.213483,0.333333,0.5,1.0
145,0.239669,0.16,0.192771,0.016871,0.036545,0.104167,0.248848,0.045306,0.310078,0.073034,0.652174,0.5,1.0
146,0.22314,0.193333,0.180723,0.02454,0.039867,0.131944,0.232719,0.035281,0.387597,0.174157,0.7971009999999998,0.666667,1.0
147,0.140496,0.133333,0.126506,0.015337,0.038206,0.076389,0.182028,0.060922,0.542636,0.11236,0.652174,0.333333,0.0
148,0.07438,0.043333,0.174699,0.006135,0.054817,0.118056,0.193548,0.071139,0.8062019999999999,0.151685,0.478261,0.5,1.0
149,0.14876,0.066667,0.349398,0.009969,0.041528,0.097222,0.28341,0.052632,0.612403,0.213483,0.57971,0.666667,1.0
150,0.247934,0.193333,0.403614,0.013804,0.275748,0.052083,0.211982,0.102757,0.263566,0.191011,0.333333,0.5,1.0
151,0.157025,0.186667,0.126506,0.093558,0.048173,0.173611,0.368664,0.13476,0.44186,0.230337,0.289855,0.5,1.0
152,0.338843,0.273333,0.192771,0.019939,0.121262,0.055556,0.317972,0.186813,0.372093,0.185393,0.217391,0.333333,0.0
153,0.31405,0.146667,0.150602,0.056748,0.074751,0.07291699999999998,0.241935,0.163678,0.310078,0.151685,0.173913,0.333333,0.0
154,0.413223,0.353333,0.114458,0.052147,0.141196,0.100694,0.145161,0.207442,0.387597,0.157303,0.289855,0.5,1.0
155,0.31405,0.293333,0.072289,0.03681,0.096346,0.038194,0.108295,0.192597,0.496124,0.196629,0.15942,0.333333,0.0
156,0.247934,0.09333300000000001,0.222892,0.016871,0.04485,0.128472,0.435484,0.071139,0.488372,0.280899,0.652174,0.5,1.0
157,0.355372,0.466667,0.060241,0.041411,0.134551,0.010417,0.016129,0.220551,0.496124,0.151685,0.217391,0.333333,0.0
158,0.190083,0.09333300000000001,0.138554,0.038344,0.071429,0.048611,0.225806,0.148255,0.325581,0.11236,0.101449,0.333333,0.0
159,0.297521,0.07333299999999998,0.180723,0.187117,0.07309,0.164931,0.513825,0.221515,0.325581,0.151685,0.15942,0.666667,1.0
160,0.165289,0.4,0.012048,0.018405,0.129568,0.069444,0.202765,0.140544,0.635659,0.168539,0.289855,0.333333,0.0
161,0.22314,0.14,0.313253,0.111963,0.066445,0.118056,0.428571,0.161943,0.341085,0.162921,0.217391,0.5,1.0
162,0.239669,0.306667,0.168675,0.07362,0.084718,0.069444,0.228111,0.150183,0.426357,0.08426999999999998,0.144928,0.333333,0.0
163,0.231405,0.08666699999999998,0.180723,0.142638,0.053156,0.21875,0.387097,0.152111,0.271318,0.157303,0.304348,0.5,1.0
164,0.231405,0.213333,0.192771,0.016871,0.043189,0.131944,0.179724,0.074224,0.674419,0.146067,0.681159,0.666667,1.0
165,0.330579,0.273333,0.295181,0.09816,0.056478,0.097222,0.329493,0.155967,0.379845,0.061798,0.289855,0.333333,0.0
166,0.264463,0.18,0.180723,0.090491,0.031561,0.090278,0.186636,0.12512,0.527132,0.11236,0.492754,0.666667,1.0
167,0.206612,0.186667,0.120482,0.021472,0.064784,0.163194,0.426267,0.111625,0.348837,0.162921,0.231884,0.333333,0.0
168,0.446281,0.133333,0.277108,0.039877,0.08139499999999998,0.131944,0.292627,0.17139,0.325581,0.202247,0.217391,0.333333,0.0
169,0.347107,0.133333,0.180723,0.119632,0.034884,0.118056,0.251152,0.092732,0.162791,0.11236,0.623188,0.5,1.0
170,0.231405,0.206667,0.295181,0.016871,0.101329,0.076389,0.329493,0.09813,0.310078,0.157303,0.507246,0.5,1.0
171,0.297521,0.053333,0.180723,0.20092,0.078073,0.111111,0.373272,0.214768,0.139535,0.123596,0.101449,0.666667,1.0
172,0.396694,0.37,0.409639,0.018405,0.654485,0.0625,0.115207,0.177559,0.232558,0.522472,0.188406,0.333333,0.0
173,0.231405,0.1,0.120482,0.165644,0.05814,0.152778,0.288018,0.172161,0.186047,0.162921,0.246377,0.5,1.0
174,0.231405,0.12,0.216867,0.009202,0.043189,0.145833,0.276498,0.073838,0.224806,0.230337,0.492754,0.5,1.0
175,0.214876,0.146667,0.216867,0.021472,0.071429,0.059028,0.31106,0.108348,0.511628,0.174157,0.362319,0.5,1.0
176,0.363636,0.126667,0.23494,0.110429,0.049834,0.166667,0.465438,0.202236,0.457364,0.162921,0.217391,0.5,1.0
177,0.239669,0.12,0.174699,0.108896,0.048173,0.135417,0.398618,0.148062,0.395349,0.191011,0.347826,0.5,1.0
178,0.330579,0.313333,0.0,0.016871,0.101329,0.020833,0.025346,0.182765,0.418605,0.235955,0.202899,0.5,1.0
179,0.231405,0.09333300000000001,0.168675,0.065951,0.054817,0.173611,0.400922,0.155967,0.449612,0.297753,0.217391,0.5,1.0
180,0.231405,0.136667,0.295181,0.165644,0.043189,0.194444,0.301843,0.196838,0.27907,0.179775,0.130435,0.5,1.0
181,0.272727,0.04,0.210843,0.01227,0.049834,0.079861,0.281106,0.096588,0.193798,0.258427,0.347826,0.333333,0.0
182,0.247934,0.113333,0.204819,0.062883,0.036545,0.114583,0.294931,0.107769,0.379845,0.08988799999999998,0.376812,0.5,1.0
183,0.272727,0.066667,0.253012,0.01227,0.059801,0.159722,0.347926,0.086563,0.178295,0.050562,0.362319,0.5,1.0
184,0.272727,0.1,0.168675,0.019939,0.061462,0.111111,0.223502,0.055138,0.310078,0.050562,0.57971,0.333333,0.0
185,0.413223,0.353333,0.180723,0.033742,0.131229,0.055556,0.092166,0.202236,0.418605,0.162921,0.188406,0.166667,0.0
186,0.338843,0.113333,0.210843,0.093558,0.049834,0.07291699999999998,0.133641,0.125506,0.162791,0.151685,0.391304,0.333333,0.0
187,0.247934,0.1,0.198795,0.019939,0.063123,0.065972,0.218894,0.082707,0.294574,0.134831,0.449275,0.5,1.0
188,0.090909,0.17,0.08433699999999998,0.010736,0.04485,0.236111,0.373272,0.096588,0.581395,0.134831,0.357488,0.333333,0.0
189,0.297521,0.16,0.13253,0.016871,0.069767,0.170139,0.398618,0.161751,0.434109,0.264045,0.130435,0.333333,0.0
190,0.198347,0.113333,0.150602,0.01227,0.034884,0.118056,0.228111,0.078851,0.449612,0.123596,0.449275,0.666667,1.0
191,0.347107,0.153333,0.271084,0.023006,0.343854,0.013889,0.023041,0.124735,0.333333,0.331461,0.652174,0.666667,1.0
192,0.38843,0.1,0.204819,0.010736,0.043189,0.184028,0.239631,0.089647,0.271318,0.185393,0.434783,0.666667,1.0
193,0.338843,0.346667,0.036145,0.015337,0.099668,0.048611,0.12212,0.179102,0.449612,0.134831,0.202899,0.333333,0.0
194,0.214876,0.046667,0.216867,0.018405,0.041528,0.145833,0.331797,0.09813,0.542636,0.264045,0.434783,0.833333,1.0
195,0.239669,0.106667,0.174699,0.219325,0.07309,0.1875,0.299539,0.217467,0.24031,0.168539,0.144928,0.333333,0.0
196,0.264463,0.12,0.204819,0.157975,0.048173,0.083333,0.179724,0.139001,0.302326,0.067416,0.42029,0.5,1.0
197,0.297521,0.106667,0.253012,0.205521,0.094684,0.163194,0.442396,0.20802,0.131783,0.11236,0.130435,0.5,1.0
198,0.363636,0.146667,0.26506,0.180982,0.056478,0.177083,0.341014,0.142857,0.248062,0.061798,0.57971,0.5,1.0
199,0.239669,0.213333,0.13253,0.125767,0.071429,0.079861,0.246544,0.166763,0.387597,0.129213,0.202899,0.333333,0.0
200,0.14876,0.143333,0.120482,0.02454,0.066445,0.059028,0.294931,0.128591,0.379845,0.258427,0.289855,0.333333,0.0
201,0.297521,0.373333,0.283133,0.207822,0.26412,0.142361,0.412442,0.21766,0.139535,0.151685,0.188406,0.333333,0.0
202,0.322314,0.14,0.174699,0.064417,0.084718,0.090278,0.345622,0.165992,0.596899,0.207865,0.333333,0.5,1.0
203,0.239669,0.18,0.192771,0.128834,0.038206,0.097222,0.246544,0.091961,0.317829,0.241573,0.710145,0.666667,1.0
204,0.247934,0.08666699999999998,0.445783,0.009202,0.063123,0.083333,0.241935,0.086563,0.317829,0.106742,0.391304,0.5,1.0
205,0.107438,0.15,0.07831299999999998,0.017638,0.04485,0.055556,0.154378,0.055716,0.527132,0.162921,0.628019,0.333333,0.0
206,0.165289,0.09333300000000001,0.180723,0.007668999999999999,0.063123,0.121528,0.288018,0.094274,0.418605,0.129213,0.347826,0.333333,0.0
207,0.22314,0.046667,0.192771,0.010736,0.04485,0.0625,0.16129,0.048776,0.356589,0.106742,0.623188,0.5,1.0
208,0.231405,0.146667,0.271084,0.113497,0.048173,0.184028,0.447005,0.163678,0.356589,0.146067,0.217391,0.333333,0.0
